,kx,ky,kz,vb3,vb2,vb1,cb
0,0.0,0.0,0.0,1.5327,1.532704,1.532704,8.713468
1,0.04,0.0,0.0,1.414463,1.520338,1.520342,8.827846
2,0.08,0.0,0.0,1.08903,1.484281,1.484285,9.142874
3,0.12,0.0,0.0,0.615149,1.426189,1.426193,9.593267
4,0.16,0.0,0.0,0.056336,1.353391,1.353395,10.109627
5,0.2,0.0,0.0,-0.542142,1.269134,1.269138,10.626894
6,0.24,0.0,0.0,-1.142951,1.178606,1.17861,11.089485
7,0.28,0.0,0.0,-1.71565,1.090468,1.090471,11.459426
8,0.32,0.0,0.0,-2.234903,1.005577,1.005581,11.713076
9,0.36,0.0,0.0,-2.679939,0.93341,0.933414,11.860292
10,0.4,0.0,0.0,-3.035141,0.877244,0.877248,11.930717
11,0.44,0.0,0.0,-3.2799,0.836815,0.836819,11.956854
12,0.48,0.0,0.0,-3.405856,0.816119,0.816123,11.963407
13,0.04,0.04,0.0,1.400491,1.504541,1.504544,8.865753
14,0.08,0.04,0.0,1.154243,1.463966,1.478109,9.113219
15,0.12,0.04,0.0,0.735981,1.404386,1.43574,9.517497
16,0.16,0.04,0.0,0.212733,1.329228,1.373018,10.01113
17,0.2,0.04,0.0,-0.365047,1.243943,1.294042,10.529794
18,0.24,0.04,0.0,-0.956062,1.153956,1.204979,11.016426
19,0.28,0.04,0.0,-1.53232,1.064992,1.108072,11.421691
20,0.32,0.04,0.0,-2.062956,0.983461,1.016175,11.71761
21,0.36,0.04,0.0,-2.528429,0.911837,0.930322,11.90118
22,0.4,0.04,0.0,-2.910537,0.857127,0.857493,11.995099
23,0.44,0.04,0.0,-3.190043,0.800984,0.820139,12.034144
24,0.48,0.04,0.0,-3.354245,0.765248,0.802623,12.046303
25,-0.48,0.04,0.0,-3.396894,0.747495,0.804318,12.048238
26,-0.44,0.04,0.0,-3.312534,0.751926,0.827866,12.044628
27,-0.4,0.04,0.0,-3.108692,0.776481,0.870122,12.026761
28,-0.36,0.04,0.0,-2.792889,0.822501,0.929597,11.972984
29,-0.32,0.04,0.0,-2.381033,0.887646,1.003758,11.853117
30,-0.28,0.04,0.0,-1.892445,0.964099,1.087647,11.632575
31,-0.24,0.04,0.0,-1.34363,1.054215,1.179432,11.298081
32,-0.2,0.04,0.0,-0.760402,1.150025,1.268668,10.860809
33,-0.16,0.04,0.0,-0.171214,1.244005,1.352224,10.355989
34,-0.12,0.04,0.0,0.390533,1.333112,1.424324,9.838627
35,-0.08,0.04,0.0,0.880922,1.410806,1.478468,9.367586
36,-0.04,0.04,0.0,1.241571,1.474892,1.511387,9.008694
37,0.08,0.08,0.0,1.041159,1.421629,1.421632,9.283981
38,0.12,0.08,0.0,0.724661,1.359463,1.372712,9.621095
39,0.16,0.08,0.0,0.272738,1.282277,1.315834,10.069553
40,0.2,0.08,0.0,-0.255054,1.195568,1.239177,10.569869
41,0.24,0.08,0.0,-0.811425,1.104558,1.146873,11.065581
42,0.28,0.08,0.0,-1.364314,1.016862,1.042793,11.503876
43,0.32,0.08,0.0,-1.885376,0.935905,0.936707,11.845803
44,0.36,0.08,0.0,-2.353658,0.833232,0.865649,12.073292
45,0.4,0.08,0.0,-2.747334,0.740779,0.813444,12.200645
46,0.44,0.08,0.0,-3.050058,0.661838,0.777195,12.258935
47,0.48,0.08,0.0,-3.245979,0.602303,0.762436,12.281593
48,-0.48,0.08,0.0,-3.325562,0.565336,0.768162,12.289184
49,-0.44,0.08,0.0,-3.284376,0.552277,0.794394,12.289791
50,-0.4,0.08,0.0,-3.125089,0.562266,0.838067,12.278277
51,-0.36,0.08,0.0,-2.855735,0.598774,0.89878,12.237112
52,-0.32,0.08,0.0,-2.489243,0.657031,0.974863,12.1364
53,-0.28,0.08,0.0,-2.045087,0.735418,1.061377,11.941849
54,-0.24,0.08,0.0,-1.541259,0.832946,1.152017,11.632752
55,-0.2,0.08,0.0,-1.001186,0.942759,1.243724,11.215708
56,-0.16,0.08,0.0,-0.450911,1.061025,1.327001,10.728918
57,-0.12,0.08,0.0,0.072477,1.181574,1.396869,10.219141
58,-0.08,0.08,0.0,0.532408,1.301064,1.448398,9.74557
59,0.12,0.12,0.0,0.541199,1.295003,1.295006,9.885206
60,0.16,0.12,0.0,0.197936,1.216162,1.22403,10.27202
61,0.2,0.12,0.0,-0.245478,1.127895,1.14357,10.732473
62,0.24,0.12,0.0,-0.738157,1.03616,1.046553,11.218064
63,0.28,0.12,0.0,-1.242298,0.931147,0.947865,11.677197
64,0.32,0.12,0.0,-1.730349,0.805037,0.867857,12.061452
65,0.36,0.12,0.0,-2.177938,0.678388,0.799756,12.337594
66,0.4,0.12,0.0,-2.566282,0.556857,0.747535,12.505847
67,0.44,0.12,0.0,-2.875072,0.450956,0.714002,12.591938
68,0.48,0.12,0.0,-3.089275,0.362573,0.70073,12.632027
69,-0.48,0.12,0.0,-3.198105,0.299111,0.708358,12.651165
70,-0.44,0.12,0.0,-3.194749,0.263199,0.73636,12.661123
71,-0.4,0.12,0.0,-3.080012,0.256854,0.784036,12.658482
72,-0.36,0.12,0.0,-2.861,0.280983,0.84743,12.62887
73,-0.32,0.12,0.0,-2.550288,0.334792,0.923489,12.542444
74,-0.28,0.12,0.0,-2.163589,0.420839,1.010606,12.364025
75,-0.24,0.12,0.0,-1.723645,0.534691,1.102989,12.069244
76,-0.2,0.12,0.0,-1.25107,0.674431,1.195085,11.663902
77,-0.16,0.12,0.0,-0.77532,0.834229,1.277189,11.185761
78,-0.12,0.12,0.0,-0.32286,1.007295,1.347075,10.685734
79,0.16,0.16,0.0,-0.023848,1.135502,1.135505,10.591649
80,0.2,0.16,0.0,-0.36155,1.046056,1.046446,10.996404
81,0.24,0.16,0.0,-0.768502,0.941435,0.953206,11.448227
82,0.28,0.16,0.0,-1.199481,0.815228,0.865518,11.909421
83,0.32,0.16,0.0,-1.630298,0.668349,0.785582,12.324428
84,0.36,0.16,0.0,-2.033762,0.512697,0.718595,12.650073
85,0.4,0.16,0.0,-2.392404,0.357153,0.667217,12.860742
86,0.44,0.16,0.0,-2.686376,0.21063,0.63377,12.97927
87,0.48,0.16,0.0,-2.900835,0.084929,0.621718,13.042858
88,-0.48,0.16,0.0,-3.024224,-0.013407,0.631219,13.081642
89,-0.44,0.16,0.0,-3.048319,-0.081167,0.660823,13.107137
90,-0.4,0.16,0.0,-2.974494,-0.111557,0.710062,13.120177
91,-0.36,0.16,0.0,-2.806498,-0.10216,0.774742,13.105531
92,-0.32,0.16,0.0,-2.556673,-0.047659,0.854986,13.034086
93,-0.28,0.16,0.0,-2.243017,0.050498,0.943554,12.865386
94,-0.24,0.16,0.0,-1.8855,0.19352,1.036148,12.571267
95,-0.2,0.16,0.0,-1.507841,0.378276,1.125713,12.161264
96,-0.16,0.16,0.0,-1.13115,0.59759,1.209193,11.680322
97,0.2,0.2,0.0,-0.596793,0.954212,0.954215,11.339489
98,0.24,0.2,0.0,-0.908727,0.853873,0.862189,11.743246
99,0.28,0.2,0.0,-1.259405,0.726452,0.773056,12.1773
100,0.32,0.2,0.0,-1.617283,0.566749,0.692945,12.600843
101,0.36,0.2,0.0,-1.957397,0.382815,0.626526,12.962397
102,0.4,0.2,0.0,-2.264044,0.187254,0.574915,13.212417
103,0.44,0.2,0.0,-2.517749,-0.004023,0.543245,13.361422
104,0.48,0.2,0.0,-2.708331,-0.182006,0.530849,13.448162
105,-0.48,0.2,0.0,-2.823537,-0.332171,0.54094,13.509812
106,-0.44,0.2,0.0,-2.858058,-0.443246,0.572104,13.561911
107,-0.4,0.2,0.0,-2.811707,-0.508845,0.621876,13.600545
108,-0.36,0.2,0.0,-2.689973,-0.517124,0.689588,13.61071
109,-0.32,0.2,0.0,-2.506698,-0.464794,0.770294,13.55566
110,-0.28,0.2,0.0,-2.280567,-0.344925,0.859224,13.389916
111,-0.24,0.2,0.0,-2.027532,-0.156657,0.952978,13.086073
112,-0.2,0.2,0.0,-1.767743,0.091154,1.044138,12.656508
113,0.24,0.24,0.0,-1.13702,0.768187,0.76819,12.086718
114,0.28,0.24,0.0,-1.411273,0.659857,0.678431,12.468742
115,0.32,0.24,0.0,-1.697658,0.512262,0.598284,12.87243
116,0.36,0.24,0.0,-1.971591,0.321024,0.531363,13.24346
117,0.4,0.24,0.0,-2.214818,0.097201,0.480175,13.51632
118,0.44,0.24,0.0,-2.411843,-0.142969,0.44782,13.672938
119,0.48,0.24,0.0,-2.553718,-0.379288,0.436324,13.770063
120,-0.48,0.24,0.0,-2.633067,-0.596449,0.445536,13.853996
121,-0.44,0.24,0.0,-2.64782,-0.772881,0.478345,13.940512
122,-0.4,0.24,0.0,-2.603252,-0.892318,0.529137,14.019268
123,-0.36,0.24,0.0,-2.514423,-0.934871,0.595915,14.065779
124,-0.32,0.24,0.0,-2.40045,-0.883444,0.676403,14.034766
125,-0.28,0.24,0.0,-2.279111,-0.726945,0.766367,13.870238
126,-0.24,0.24,0.0,-2.1575,-0.475754,0.86066,13.541557
127,0.28,0.28,0.0,-1.620277,0.587977,0.58798,12.785478
128,0.32,0.28,0.0,-1.848549,0.47913,0.506146,13.131515
129,0.36,0.28,0.0,-2.067879,0.313793,0.439489,13.4768
130,0.4,0.28,0.0,-2.256916,0.093361,0.387507,13.735706
131,0.44,0.28,0.0,-2.398387,-0.169932,0.356071,13.856468
132,0.48,0.28,0.0,-2.483582,-0.456895,0.343386,13.933866
133,-0.48,0.28,0.0,-2.507088,-0.744701,0.353025,14.028634
134,-0.44,0.28,0.0,-2.469157,-1.009251,0.383207,14.147425
135,-0.4,0.28,0.0,-2.382409,-1.220472,0.433745,14.273134
136,-0.36,0.28,0.0,-2.287902,-1.328233,0.500583,14.370545
137,-0.32,0.28,0.0,-2.240211,-1.274881,0.582626,14.37896
138,-0.28,0.28,0.0,-2.252972,-1.055423,0.672733,14.221719
139,0.32,0.32,0.0,-2.031125,0.42609,0.426092,13.392115
140,0.36,0.32,0.0,-2.212002,0.317579,0.35689,13.665128
141,0.4,0.32,0.0,-2.364503,0.140415,0.303738,13.845154
142,0.44,0.32,0.0,-2.470089,-0.102845,0.269484,13.858201
143,0.48,0.32,0.0,-2.515675,-0.399097,0.256831,13.903751
144,-0.48,0.32,0.0,-2.49528,-0.727561,0.264946,14.002309
145,-0.44,0.32,0.0,-2.402715,-1.063756,0.295387,14.145159
146,-0.4,0.32,0.0,-2.241672,-1.38651,0.343627,14.310414
147,-0.36,0.32,0.0,-2.044904,-1.650851,0.409513,14.455587
148,-0.32,0.32,0.0,-2.054977,-1.603247,0.490745,14.508082
149,0.36,0.36,0.0,-2.364742,0.286733,0.286736,13.824649
150,0.4,0.36,0.0,-2.496004,0.184075,0.231992,13.692394
151,0.44,0.36,0.0,-2.583924,0.00206,0.196763,13.664247
152,0.48,0.36,0.0,-2.615409,-0.25503,0.180908,13.716407
153,-0.48,0.36,0.0,-2.580204,-0.569566,0.188089,13.830431
154,-0.44,0.36,0.0,-2.475409,-0.918425,0.216037,13.991476
155,-0.4,0.36,0.0,-2.301446,-1.273229,0.265315,14.181051
156,-0.36,0.36,0.0,-2.0805,-1.597845,0.329633,14.360125
157,0.4,0.4,0.0,-2.616765,0.174907,0.17491,13.496799
158,0.44,0.4,0.0,-2.698727,0.084514,0.137907,13.424497
159,0.48,0.4,0.0,-2.729269,-0.095486,0.121294,13.467955
160,-0.48,0.4,0.0,-2.697934,-0.351002,0.126949,13.595083
161,-0.44,0.4,0.0,-2.606412,-0.66187,0.15402,13.774113
162,-0.4,0.4,0.0,-2.461208,-0.988407,0.201232,13.980842
163,0.44,0.44,0.0,-2.782018,0.098887,0.098889,13.277764
164,0.48,0.44,0.0,-2.820073,0.022547,0.080114,13.262458
165,-0.48,0.44,0.0,-2.801079,-0.144934,0.083503,13.366474
166,-0.44,0.44,0.0,-2.726328,-0.386046,0.108046,13.551372
167,0.48,0.48,0.0,-2.86715,0.059549,0.059552,13.168084
168,-0.48,0.48,0.0,-2.860518,0.001408,0.060716,13.208323
169,0.12,0.08,0.04,0.88509,1.391127,1.452105,9.404645
170,0.16,0.08,0.04,0.465047,1.300906,1.409103,9.829333
171,0.2,0.08,0.04,-0.047459,1.20328,1.347016,10.326463
172,0.24,0.08,0.04,-0.605898,1.100504,1.268317,10.835063
173,0.28,0.08,0.04,-1.172305,0.99767,1.179,11.299811
174,0.32,0.08,0.04,-1.71498,0.899849,1.085978,11.6772
175,0.36,0.08,0.04,-2.210357,0.81308,0.996553,11.941994
176,0.4,0.08,0.04,-2.63707,0.74036,0.917728,12.097676
177,0.44,0.08,0.04,-2.976836,0.683231,0.853172,12.173563
178,0.48,0.08,0.04,-3.213984,0.644768,0.806633,12.202473
179,-0.48,0.08,0.04,-3.334998,0.626808,0.783036,12.210505
180,0.16,0.12,0.04,0.406941,1.260675,1.33098,9.981962
181,0.2,0.12,0.04,-0.027915,1.148919,1.276658,10.434097
182,0.24,0.12,0.04,-0.524649,1.033594,1.204613,10.92749
183,0.28,0.12,0.04,-1.044344,0.919049,1.118424,11.409129
184,0.32,0.12,0.04,-1.557463,0.806627,1.024986,11.824485
185,0.36,0.12,0.04,-2.036378,0.702066,0.93524,12.138867
186,0.4,0.12,0.04,-2.460679,0.606879,0.855294,12.338874
187,0.44,0.12,0.04,-2.809511,0.526174,0.792102,12.4452
188,0.48,0.12,0.04,-3.06616,0.460325,0.750119,12.492618
189,-0.48,0.12,0.04,-3.217301,0.412934,0.732327,12.51043
190,-0.44,0.12,0.04,-3.255142,0.387838,0.737604,12.516462
191,-0.4,0.12,0.04,-3.176589,0.388151,0.766409,12.514292
192,-0.36,0.12,0.04,-2.987155,0.412735,0.815794,12.493839
193,-0.32,0.12,0.04,-2.697523,0.461456,0.8836,12.432023
194,-0.28,0.12,0.04,-2.321144,0.534675,0.964023,12.295863
195,-0.24,0.12,0.04,-1.878054,0.631084,1.052875,12.05256
196,-0.2,0.12,0.04,-1.389451,0.746227,1.144351,11.694531
197,-0.16,0.12,0.04,-0.87903,0.876806,1.233001,11.24486
198,-0.12,0.12,0.04,-0.377198,1.016451,1.309889,10.747258
199,-0.08,0.12,0.04,0.083422,1.161549,1.370395,10.257471
200,0.2,0.16,0.04,-0.134185,1.096752,1.170255,10.665617
201,0.24,0.16,0.04,-0.544625,0.967893,1.104056,11.12272
202,0.28,0.16,0.04,-0.994542,0.836574,1.022183,11.598298
203,0.32,0.16,0.04,-1.451723,0.703593,0.931739,12.039902
204,0.36,0.16,0.04,-1.89045,0.571585,0.843296,12.401419
205,0.4,0.16,0.04,-2.288131,0.444028,0.766296,12.651719
206,0.44,0.16,0.04,-2.626263,0.32493,0.707926,12.795837
207,0.48,0.16,0.04,-2.885127,0.22215,0.671248,12.868875
208,-0.48,0.16,0.04,-3.052473,0.140545,0.658117,12.90451
209,-0.44,0.16,0.04,-3.1183,0.08544,0.669198,12.923909
210,-0.4,0.16,0.04,-3.078865,0.059495,0.701261,12.932517
211,-0.36,0.16,0.04,-2.936326,0.066916,0.75426,12.923618
212,-0.32,0.16,0.04,-2.701397,0.108788,0.824015,12.875244
213,-0.28,0.16,0.04,-2.387787,0.185159,0.905479,12.751555
214,-0.24,0.16,0.04,-2.01311,0.297308,0.996515,12.519674
215,-0.2,0.16,0.04,-1.601161,0.442379,1.088284,12.16712
